"标题","地点","户型格局","面积","更多信息","关注人数","发布日期","价格(元每平方米)","总价(万元)"
"北大学城水映唐庄上叠别墅带露台满五年","水映唐庄 - 北大学城","4室2厅 "," 145.79平米"," | 南 北 | 简装 | 中楼层(共4层) | 塔楼","122人关注 "," 一年前发布",11798,172
"地铁口、中间楼层、双气小三房、满五唯一、诚心出售","谦祥万和城二期 - 高新新郑大","3室2厅 "," 87平米"," | 东南 | 简装 | 低楼层(共34层) | 板楼","3人关注 "," 2个月以前发布",11495,100
"象湖省府旁 纯电梯多层洋房 一梯两户南北通透","宁馨苑小区 - 象湖","5室3厅 "," 233.32平米"," | 南 北 | 毛坯 | 高楼层(共6层) | 板楼","45人关注 "," 一年前发布",9515,222
"永威迎宾府 满五唯一 精装大三室 拎包入住","永威迎宾府 - 北大学城","3室2厅 "," 137.21平米"," | 西 | 精装 | 中楼层(共18层) | 塔楼","0人关注 "," 1个月以前发布",17128,235
"中海锦苑，无遮挡，看房方便，装修花费36万，产权清晰","中海锦苑 - 省中医院","3室2厅 "," 88.74平米"," | 南 | 精装 | 中楼层(共27层) | 板楼","24人关注 "," 7个月以前发布",22538,200
"泰宏建业 品质小区 陇西 人车分流 急售","泰宏建业国际城16号院 - 万客来","3室2厅 "," 93.19平米"," | 东 | 精装 | 高楼层(共32层) | 板楼","52人关注 "," 一年前发布",12234,114
"城市山水 南北户型 采光全天 无遮挡 没有贷款 诚心卖","城市山水 - 兴华南街","3室2厅 "," 129.84平米"," | 南 北 | 简装 | 低楼层(共28层) | 板塔结合","11人关注 "," 一年前发布",12708,165
"品质小区万科物业 房本 在手","万科城雅梅苑 - 高新万科","3室2厅 "," 89.15平米"," | 南 北 | 精装 | 低楼层(共34层) | 板楼","7人关注 "," 一年前发布",11554,103
"精装大三居自住北门出去是建6小双地铁近","紫韵丽园 - 中原万达","3室1厅 "," 117.11平米"," | 北 南 | 精装 | 低楼层(共34层) | 板楼","45人关注 "," 7个月以前发布",11443,134
"正弘城 地铁口 百万精装带地暖 河景房 楼间距百米","正弘·蓝堡湾Ⅱ - 文博广场","4室2厅 "," 196.91平米"," | 南 | 精装 | 低楼层(共31层) | 板塔结合","9人关注 "," 7个月以前发布",28948,570
"东边户全明3室，通风采光好，新小区人车分流","金科城壹号院 - 高新梧桐","3室2厅 "," 86.32平米"," | 南 北 | 毛坯 | 高楼层(共34层) | 塔楼","2人关注 "," 2个月以前发布",18768,162
"和昌澜景 不临高架 精装修 楼层好 采光充足","和昌澜景 - 儿童公园","3室1厅 "," 89.38平米"," | 南 | 简装 | 高楼层(共27层) | 板塔结合","8人关注 "," 8个月以前发布",13762,123
"双地铁满五年，产权清晰，无抵押 无贷款，过户交易快","汇鑫小区 - 二七万达","3室2厅 "," 140.75平米"," | 南 北 东 | 简装 | 中楼层(共7层) | 板楼","27人关注 "," 5个月以前发布",7816,110
"房子有一个车位 满五唯一 北龙湖旁 格局方正","山顶御鑫城 - 北站","4室2厅 "," 173.15平米"," | 北 南 | 简装 | 中楼层(共33层) | 板楼","5人关注 "," 10个月以前发布",14323,248
"北三环 地铁口 精装修 满五不唯一 文三 47","茵悦之声 - 徐寨","4室2厅 "," 143.68平米"," | 南 | 精装 | 高楼层(共11层) | 塔楼","16人关注 "," 一年前发布",13572,195
"低于同户型30W，同户型评分Z高，急售此房，满五唯一","银基王朝三期万和园 - 燕庄","3室1厅 "," 118.77平米"," | 南 | 简装 | 高楼层(共32层) | 板塔结合","39人关注 "," 8个月以前发布",15829,188
"雅居精装朝南三房，满五不唯一，业主诚售，可随时看房","亚星盛世雅居 - 二七万达","3室1厅 "," 88.03平米"," | 南 | 精装 | 低楼层(共28层) | 板塔结合","11人关注 "," 8个月以前发布",15336,135
"18年新小区，双气，双地铁，人车分流","紫韵丽园 - 中原万达","3室2厅 "," 130.74平米"," | 南 | 毛坯 | 中楼层(共34层) | 板楼","67人关注 "," 8个月以前发布",10556,138
"闹中取静，低楼层，园林景观。出门地铁口。","蓝天佳园 - 热电厂","3室2厅 "," 128.34平米"," | 南 北 | 精装 | 低楼层(共7层) | 板楼","4人关注 "," 2个月以前发布",16052,206
"二环内 公园旁 容积低 两梯三户 业主诚心 随时看房","美景天城 - 世纪欢乐园","3室2厅 "," 141.99平米"," | 南 北 | 其他 | 高楼层(共18层) | 板楼","2人关注 "," 2个月以前发布",11410,162
"急售好房满五年小高层紧挨熊儿河畔观景落地大阳台","滨河绿苑 - 燕庄","3室2厅 "," 165.33平米"," | 南 北 | 简装 | 19层 | 板塔结合","1人关注 "," 2个月以前发布",12218,202
"双气电梯洋房 省移动家属院 随时可看房","人和花园 - 北站","4室2厅 "," 164.63平米"," | 南 | 简装 | 中楼层(共6层) | 板楼","33人关注 "," 一年前发布",14882,245
"二环内 美景天城 双气3+1四房 4米挑高大客厅","美景天城 - 世纪欢乐园","4室2厅 "," 123.33平米"," | 南 北 | 简装 | 低楼层(共18层) | 板楼","25人关注 "," 4个月以前发布",12082,149
"精装四房，中间楼层，前后无遮挡","绿都紫荆华庭晴园 - 橄榄城","4室2厅 "," 119.91平米"," | 西 | 精装 | 中楼层(共33层) | 板塔结合","22人关注 "," 一年前发布",16388,196.5
"边户通透三房 全明户型采光好 全新未住过人精装有钥匙","金科城壹号院 - 高新梧桐","3室2厅 "," 86.25平米"," | 南 北 | 精装 | 高楼层(共34层) | 板楼","9人关注 "," 4个月以前发布",19711,170
"露台150+400平双楼台，养花种菜，老幼活动私人院落。","瀚宇天悦一期 - 索凌路北段","4室2厅 "," 131.55平米"," | 南 北 | 精装 | 低楼层(共33层) | 塔楼","27人关注 "," 3个月以前发布",19689,259
"曼哈顿玉米楼旁民航路地铁口复式带露台精装修业主自住","燕寿路7号院 - 未来大厦","4室2厅 "," 144.39平米"," | 南 北 | 其他 | 高楼层(共7层) | 板楼","0人关注 "," 1个月以前发布",12120,175
"全新装修基本没有住过，双气，距离郑州市区比较近","正商智慧城博园 - 橄榄城","3室2厅 "," 89.8平米"," | 南 | 精装 | 中楼层(共30层) | 板塔结合","2人关注 "," 3个月以前发布",9466,85
"金二环航海路双地铁口 南北 精装修大3房","万达3号院 - 二七万达","3室1厅 "," 130.12平米"," | 南 | 精装 | 33层 | 板塔结合","9人关注 "," 7个月以前发布",15832,206
"+24平地下室，金二环地铁口多层大三房，园林社区","正商金色港湾 - 蓝钻商圈","3室2厅 "," 111.16平米"," | 南 北 | 简装 | 中楼层(共7层) | 板楼","146人关注 "," 一年前发布",10076,112
"免费停车，双卫，进出人脸识别，南北通透","江海翠竹苑 - 燕庄","3室2厅 "," 126.82平米"," | 南 北 | 精装 | 中楼层(共7层) | 板楼","89人关注 "," 一年前发布",9699,123
"金水区三环内 东风渠畔 优质精装大三房 南北通透","圣菲城 - 徐寨","3室2厅 "," 149.02平米"," | 南 北 | 精装 | 中楼层(共18层) | 塔楼","27人关注 "," 5个月以前发布",19327,288
"小高层低密度。闹中取静，通透明亮大阳台；有钥匙","圣菲城 - 徐寨","3室2厅 "," 129.51平米"," | 东南 | 简装 | 高楼层(共11层) | 板楼","45人关注 "," 8个月以前发布",18918,245
"真正的河景房，好位置，采光无遮挡","龙之梦东苑 - 北龙湖","5室2厅 "," 198.87平米"," | 南 北 | 毛坯 | 低楼层(共11层) | 板塔结合","24人关注 "," 9个月以前发布",31177,620
"汇宝花园 大三房 业主诚心出售 户型好双地铁","汇宝花园 - 省中医院","3室2厅 "," 142.58平米"," | 南 北 | 简装 | 低楼层(共6层) | 板塔结合","22人关注 "," 一年前发布",12274,175
"万科大都会精装 三房 中间楼层 边向 诚心卖","万科大都会铂悦苑 - 橄榄城","3室2厅 "," 89.53平米"," | 南 北 | 精装 | 中楼层(共34层) | 塔楼","4人关注 "," 3个月以前发布",11393,102
"园林小区，满五唯一，中间楼层，户型方正，南北双阳台","鑫苑名家 - 北站","3室2厅 "," 134.38平米"," | 南 北 | 精装 | 中楼层(共6层) | 板楼","18人关注 "," 3个月以前发布",18456,248
"电梯洋房，7层带阁楼上下两层面积大，随时看房。","颐河原筑小区 - 北大学城","4室2厅 "," 96.81平米"," | 南 | 精装 | 高楼层(共7层) | 板楼","25人关注 "," 6个月以前发布",16321,158
"双气大3房有钥匙121平107W非顶楼","金水花园西区 - 未来大厦","3室2厅 "," 121.56平米"," | 南 北 | 简装 | 高楼层(共7层) | 板楼","33人关注 "," 一年前发布",8803,107
"中州大道 山顶御鑫城 两梯两户 精装双气3房 满五唯一","山顶御鑫城 - 北站","3室2厅 "," 151.07平米"," | 南 北 | 精装 | 中楼层(共33层) | 板楼","43人关注 "," 一年前发布",14497,219
"此房满五不唯一，不临街不临路。","鑫苑中央花园 - 通泰路","3室1厅 "," 127.59平米"," | 南 北 | 精装 | 低楼层(共16层) | 板塔结合","24人关注 "," 一年前发布",20182,257.5
"海马三期 精装修南北通透大三房 业主急售","海马公园三期 - 郑州东站","3室2厅 "," 135.87平米"," | 南 北 | 精装 | 低楼层(共33层) | 板塔结合","26人关注 "," 5个月以前发布",27821,378
"南三环 精装修百万内三房 楼层好 有钥匙看房方便","溪景桂园 - 万客来","3室2厅 "," 117.16平米"," | 南 | 简装 | 低楼层(共26层) | 板楼","1人关注 "," 1个月以前发布",8024,94
"满五年 全款房 精装修 诚心出售","银基王朝4期东南御 - 燕庄","4室2厅 "," 152平米"," | 南 北 | 精装 | 中楼层(共28层) | 塔楼","31人关注 "," 3个月以前发布",19277,293
"曼哈顿旁 家属院 双气三房出售 带个大地下室","金水路9号院附2号院 - 未来大厦","3室2厅 "," 113.65平米"," | 南 | 简装 | 高楼层(共7层) | 板楼","78人关注 "," 一年前发布",8272,94
"金二环电梯洋房，50万精装修，全新规划未来可期。","正商新蓝钻E区 - 蓝钻商圈","3室2厅 "," 137.67平米"," | 南 北 | 精装 | 高楼层(共7层) | 板楼","16人关注 "," 一年前发布",18015,248
"满五唯一 自住精装修 南北通透 中间楼层 业主急售！","谦祥万和城一期 - 高新新郑大","3室2厅 "," 141.39平米"," | 南 北 | 精装 | 中楼层(共34层) | 板楼","32人关注 "," 一年前发布",12024,170
"精装四房，满五唯一，业主急卖，价格可聊","万达公馆 - 文博广场","4室2厅 "," 193.02平米"," | 南 北 | 精装 | 低楼层(共44层) | 板楼","52人关注 "," 一年前发布",26941,520
"此房满五，看房方便，诚心出售，楼层好视野好","正弘·蓝堡湾Ⅱ - 文博广场","3室2厅 "," 124.94平米"," | 南 北 | 精装 | 中楼层(共32层) | 板楼","6人关注 "," 8个月以前发布",29215,365
"小高层 得房率80% 南北通透 双气双地铁 简装 满五年","升龙又一城1号院 - 高新梧桐","3室2厅 "," 89.9平米"," | 南 北 | 简装 | 低楼层(共18层) | 板塔结合","57人关注 "," 8个月以前发布",10679,96
"地铁口 低楼层 看房方便 诚心出售 价格比较低","姚寨省直住宅小区 - 财富广场","3室2厅 "," 104.07平米"," | 南 北 | 简装 | 低楼层(共6层) | 板楼","18人关注 "," 5个月以前发布",10955,114
"多层3楼，房子已经腾空，有钥匙，随时看房。","凤凰城公寓 - 东建材","2室2厅 "," 88.17平米"," | 南 | 简装 | 中楼层(共6层) | 板楼","16人关注 "," 3个月以前发布",8847,78
"金水路 隔壁会展中 心 出行方便 多层有电梯 带露台","新鑫花园(金水) - 燕庄","4室2厅 "," 127.01平米"," | 南 北 | 简装 | 高楼层(共7层) | 板塔结合","25人关注 "," 9个月以前发布",11811,150
"宝天花苑 东明路林科路 双气小高层 一梯两户 采光好","宝天花苑 - 枣庄","3室2厅 "," 149.34平米"," | 南 | 简装 | 高楼层(共11层) | 板楼","146人关注 "," 10个月以前发布",11183,167
"房子满五唯一 视野好 采光充足 看房方便","紫荆花园 - 紫荆山公园","3室2厅 "," 169.31平米"," | 南 北 | 简装 | 高楼层(共6层) | 板楼","23人关注 "," 7个月以前发布",9451,160
"1.5.6三地铁交汇 2楼精装修.次卧露台一个，欢迎品鉴","广发花园 - 未来大厦","3室2厅 "," 129.67平米"," | 南 北 | 精装 | 低楼层(共6层) | 板楼","8人关注 "," 4个月以前发布",12725,165
"海洋馆旁 华瑞紫薇苑 标准三房 11层小高层 全款房","华瑞紫薇苑 - 海洋馆","3室2厅 "," 93.74平米"," | 南 北 | 精装 | 高楼层(共11层) | 板楼","84人关注 "," 一年前发布",13389,125.5
"中方园东区大三房，采光好，业主诚售！","中方园东区 - 陈寨","3室2厅 "," 126平米"," | 南 | 简装 | 中楼层(共7层) | 板楼","22人关注 "," 6个月以前发布",7143,90
"满五唯一，看房方便，有车位，16年双气人车分流小区","中海锦苑 - 省中医院","3室2厅 "," 88.58平米"," | 南 | 简装 | 低楼层(共27层) | 板塔结合","1人关注 "," 2个月以前发布",20321,180
"首付30内买三房 中间楼层全天不挡光","聚福园 - 普罗旺世","3室2厅 "," 98.26平米"," | 南 | 精装 | 高楼层(共11层) | 板塔结合","7人关注 "," 2个月以前发布",7633,75
"蓝堡湾二期 南向两居 诚心出售 看房方便","正弘·蓝堡湾Ⅱ - 文博广场","2室2厅 "," 86.7平米"," | 南 | 简装 | 低楼层(共32层) | 板塔结合","61人关注 "," 一年前发布",21800,189
"满五年 南北通透三房，双地铁口 诚心出售","英协鼎峰 - 燕庄","3室2厅 "," 166.22平米"," | 南 北 东 | 精装 | 低楼层(共31层) | 塔楼","13人关注 "," 6个月以前发布",9717,161.5
"明珠143平边户大三房 业主诚售，总价低，单价低","亚太明珠 - 远大理想城","3室2厅 "," 142.47平米"," | 南 北 | 毛坯 | 中楼层(共24层) | 板楼","45人关注 "," 10个月以前发布",12003,171
"满五唯一，低楼层，业主诚心出售，双卫，大三房。","中华园 - 绿茵广场","3室2厅 "," 114.14平米"," | 南 | 精装 | 低楼层(共7层) | 板楼","3人关注 "," 2个月以前发布",8499,97
"建业路 熊儿河畔 双气洋房带地下室 小区改造停车方便","虹景嘉园 - 燕庄","3室2厅 "," 129.83平米"," | 南 北 | 简装 | 中楼层(共7层) | 板楼","12人关注 "," 8个月以前发布",11169,145
"家园六期 视野开阔 多层中间楼层 南北性好 大三房","亚星盛世家园 - 兴华南街","3室1厅 "," 129.19平米"," | 南 | 精装 | 中楼层(共6层) | 板楼","37人关注 "," 8个月以前发布",12540,162
"橄榄城双气社区，满五唯一，附入户花园，得房率高","橄榄城柏林印象 - 正商城","3室1厅 "," 88.7平米"," | 南 北 | 简装 | 中楼层(共6层) | 板楼","0人关注 "," 1个月以前发布",10711,95
"15年次新小区南北通透大2室，南北双阳台，置换首套房","中力七里湾 - 通泰路","2室2厅 "," 97.21平米"," | 南 北 | 精装 | 高楼层(共26层) | 塔楼","3人关注 "," 2个月以前发布",14608,142
"省医旁 宜家美景 大四室 与郑东新区一路之隔 带电梯","宜家美景小区 - 财富广场","4室2厅 "," 175.43平米"," | 南 东南 | 简装 | 中楼层(共13层) | 塔楼","11人关注 "," 11个月以前发布",11173,196
"次新小区，人车分流，一级物业，服务好，口碑佳！","绿都澜湾樟园 - 橄榄城","3室2厅 "," 85.19平米"," | 南 | 精装 | 高楼层(共34层) | 板塔结合","16人关注 "," 4个月以前发布",14674,125
"小高层 小区中间位置三房 满五年","东方港湾 - 郑州东站","3室2厅 "," 125.21平米"," | 南 北 | 精装 | 中楼层(共18层) | 板塔结合","3人关注 "," 2个月以前发布",20047,251
"诚心出售！无增值无差额，北龙湖精装修大四房","恒大悦龙花园 - 北龙湖","4室2厅 "," 158.45平米"," | 南 北 | 精装 | 中楼层(共25层) | 板塔结合","44人关注 "," 一年前发布",27454,435
"万达3号院中间好楼层小三房，业主诚心急售，价格便宜","万达3号院 - 二七万达","3室1厅 "," 108.94平米"," | 南 | 简装 | 33层 | 板塔结合","6人关注 "," 4个月以前发布",14871,162
"中州大道农业路电梯洋房急售 大社区环境好 停车方便","金成东苑 - 财富广场","3室2厅 "," 147.2平米"," | 南 | 简装 | 高楼层(共7层) | 板楼","10人关注 "," 7个月以前发布",8900,131
"万科洋房；地铁口‘楼层好 采光好！","万科城采薇苑 - 高新万科","3室1厅 "," 121.74平米"," | 南 北 | 精装 | 中楼层(共7层) | 板塔结合","1人关注 "," 3个月以前发布",16183,197
"2号线地铁口 方圆创世 3室精装 电梯双气 带露台","方圆创世 - 紫荆山","3室2厅 "," 84.43平米"," | 南 北 | 精装 | 高楼层(共29层) | 板楼","3人关注 "," 2个月以前发布",13147,111
"三环边 精装修 满五年 看房方便 有钥匙","金富源 - 省体育中心","3室2厅 "," 103.83平米"," | 南 北 | 精装 | 中楼层(共18层) | 塔楼","4人关注 "," 3个月以前发布",9824,102
"南三环，运河旁，中间楼层，双气电梯房","金牛水岸国际花园 - 橄榄城","3室2厅 "," 103.41平米"," | 南 | 简装 | 中楼层(共18层) | 板楼","11人关注 "," 5个月以前发布",9091,94
"紫韵丽园 3室1厅 南","紫韵丽园 - 中原万达","3室1厅 "," 107.49平米"," | 南 | 毛坯 | 低楼层(共33层) | 板楼","2人关注 "," 1个月以前发布",9769,105
"经三路晨旭路 精装双气四室 经典复式 采光视野都不错","恒升府第 - 北站","4室3厅 "," 161.99平米"," | 南 北 | 精装 | 高楼层(共17层) | 板塔结合","33人关注 "," 11个月以前发布",12656,205
"三环双河居毛坯三房业主诚售看房有钥匙","亚星双河居 - 万客来","3室2厅 "," 127.4平米"," | 南 北 | 毛坯 | 低楼层(共33层) | 板楼","1人关注 "," 2个月以前发布",10833,138
"未来路商城路地铁一三六号线 二梯三户 小高层 急售","丰源官邸 - 燕庄","3室2厅 "," 140.65平米"," | 西南 | 简装 | 高楼层(共18层) | 板塔结合","28人关注 "," 7个月以前发布",12229,172
"太极公馆大平层，五室三卫，2+3东大街站，急售","太极公馆（管城区） - 紫荆山","5室2厅 "," 194.63平米"," | 南 | 简装 | 中楼层(共7层) | 板楼","2人关注 "," 1个月以前发布",9506,185
"业主诚心出售，精装修，楼层好。","橄榄城伍号院 - 橄榄城","3室2厅 "," 88.53平米"," | 西南 | 精装 | 26层 | 板塔结合","3人关注 "," 2个月以前发布",11974,106
"品质社区 可观景 全新装修 可拎包入住 双卫","银基王朝三期万和园 - 燕庄","3室2厅 "," 118.74平米"," | 东南 | 精装 | 中楼层(共32层) | 塔楼","25人关注 "," 7个月以前发布",16760,199
"临湖的顶楼复式洋房，毛坯，装修可任意发挥，满二","正商公主湖 - 新郑城区","5室2厅 "," 181.22平米"," | 南 北 | 毛坯 | 高楼层(共7层) | 板楼","3人关注 "," 3个月以前发布",6070,110
"满五，得房率高，小区在卖户型仅 此一套","圣菲城 - 徐寨","3室2厅 "," 79.38平米"," | 南 | 简装 | 中楼层(共18层) | 塔楼","12人关注 "," 5个月以前发布",20157,160
"经三路红旗路，一楼带院（35平）大3房，户型好，即看","经三路北11号院 - 财富广场","3室2厅 "," 129.05平米"," | 南 北 | 简装 | 低楼层(共7层) | 板楼","51人关注 "," 4个月以前发布",10694,138
"精装三房改四房，中楼层，诚心售","正弘旗 - 枣庄","3室2厅 "," 143.34平米"," | 南 北 | 精装 | 高楼层(共24层) | 板塔结合","5人关注 "," 3个月以前发布",15000,215
"万科洋房；地铁口‘楼层好 采光好！","万科城采薇苑 - 高新万科","3室1厅 "," 121.74平米"," | 南 北 | 精装 | 中楼层(共7层) | 板塔结合","1人关注 "," 3个月以前发布",16183,197
"紫韵丽园 3室1厅 南","紫韵丽园 - 中原万达","3室1厅 "," 107.49平米"," | 南 | 毛坯 | 低楼层(共33层) | 板楼","2人关注 "," 1个月以前发布",9769,105
"2号线地铁口 方圆创世 3室精装 电梯双气 带露台","方圆创世 - 紫荆山","3室2厅 "," 84.43平米"," | 南 北 | 精装 | 高楼层(共29层) | 板楼","3人关注 "," 2个月以前发布",13147,111
"保利央企开发，高楼层，楼下就是智通路小XUE","保利罗兰香谷 - 经开物流园区","3室2厅 "," 129.93平米"," | 西南 | 毛坯 | 高楼层(共33层) | 板楼","5人关注 "," 一年前发布",7689,99.9
"太极公馆大平层，五室三卫，2+3东大街站，急售","太极公馆（管城区） - 紫荆山","5室2厅 "," 194.63平米"," | 南 | 简装 | 中楼层(共7层) | 板楼","2人关注 "," 1个月以前发布",9506,185
"经三路晨旭路 精装双气四室 经典复式 采光视野都不错","恒升府第 - 北站","4室3厅 "," 161.99平米"," | 南 北 | 精装 | 高楼层(共17层) | 板塔结合","33人关注 "," 11个月以前发布",12656,205
"保利永威西溪花园 一级物业 温馨小三房 拎包入住","保利永威西溪花园 - 高新梧桐","3室2厅 "," 87.03平米"," | 南 | 精装 | 高楼层(共34层) | 板楼","5人关注 "," 4个月以前发布",12525,109
"诚信出售，交通便利 双气大两房 看房方便","天伦水晶城 - 陈寨","2室2厅 "," 108平米"," | 南 | 精装 | 中楼层(共30层) | 板塔结合","42人关注 "," 一年前发布",10000,108
"大石桥 3号线，双气，多层，能贷款，价格便宜急卖","国税小区 - 火车站","3室2厅 "," 115.2平米"," | 南 北 | 精装 | 中楼层(共7层) | 板楼","0人关注 "," 4个月以前发布",8073,93
"刚降三十一万 出国急 随时看房 首付83万","阳光新城 - 北站","4室2厅 "," 174.79平米"," | 西南 | 精装 | 中楼层(共19层) | 板楼","5人关注 "," 2个月以前发布",16535,289
"润城时光里 次新小区 下沉式花园 中上楼层 诚心出售","润城时光里 - 通泰路","3室2厅 "," 128.25平米"," | 南 北 | 简装 | 高楼层(共25层) | 板楼","3人关注 "," 1个月以前发布",12398,159
"15年次新小区南北通透大2室，南北双阳台，置换首套房","中力七里湾 - 通泰路","2室2厅 "," 97.21平米"," | 南 北 | 精装 | 高楼层(共26层) | 塔楼","3人关注 "," 2个月以前发布",14608,142
"满五唯一，低楼层，业主诚心出售，双卫，大三房。","中华园 - 绿茵广场","3室2厅 "," 114.14平米"," | 南 | 精装 | 低楼层(共7层) | 板楼","3人关注 "," 2个月以前发布",8499,97
"满五唯一，看房方便，有车位，16年双气人车分流小区","中海锦苑 - 省中医院","3室2厅 "," 88.58平米"," | 南 | 简装 | 低楼层(共27层) | 板塔结合","1人关注 "," 2个月以前发布",20321,180
"建业路 熊儿河畔 双气洋房带地下室 小区改造停车方便","虹景嘉园 - 燕庄","3室2厅 "," 129.83平米"," | 南 北 | 简装 | 中楼层(共7层) | 板楼","12人关注 "," 8个月以前发布",11169,145
"房子满五唯一 视野好 采光充足 看房方便","紫荆花园 - 紫荆山公园","3室2厅 "," 169.31平米"," | 南 北 | 简装 | 高楼层(共6层) | 板楼","23人关注 "," 7个月以前发布",9451,160
"南北通透，精装修，大3房，大客厅，户型好","金恒基金帝城 - 中牟城区","3室2厅 "," 150.35平米"," | 南 北 | 精装 | 中楼层(共7层) | 板楼","0人关注 "," 1个月以前发布",5854,88
"此房业主诚心出售，中高楼层，诚心出售，采光好。","曼哈顿 - 燕庄","3室2厅 "," 148.61平米"," | 南 北 | 精装 | 低楼层(共22层) | 板塔结合","16人关注 "," 8个月以前发布",12113,180
"楼层好，采光好，全明户型，无遮挡。","锦艺四季城一期 - 惠济万达","3室2厅 "," 89平米"," | 西 | 毛坯 | 中楼层(共31层) | 塔楼","55人关注 "," 一年前发布",12922,115
"首付30内买三房 中间楼层全天不挡光","聚福园 - 普罗旺世","3室2厅 "," 98.26平米"," | 南 | 精装 | 高楼层(共11层) | 板塔结合","7人关注 "," 2个月以前发布",7633,75
"宝天花苑 东明路林科路 双气小高层 一梯两户 采光好","宝天花苑 - 枣庄","3室2厅 "," 149.34平米"," | 南 | 简装 | 高楼层(共11层) | 板楼","146人关注 "," 10个月以前发布",11183,167
"业主急卖 着急的上火 看房有钥匙 随时看","财信圣堤亚纳小区 - 黄河南路","3室2厅 "," 134.52平米"," | 西 | 简装 | 低楼层(共34层) | 板楼","48人关注 "," 一年前发布",17024,229
"郑东新区三房 2018年次新小区 临着七里河 观景楼层","润城时光里 - 通泰路","3室2厅 "," 111.72平米"," | 南 北 | 简装 | 高楼层(共27层) | 板楼","39人关注 "," 5个月以前发布",14053,157
"一楼带院儿，下沉式复式，从未入住新装修，价格大优惠","怡丰森林湖一期 - 北大学城","4室2厅 "," 90.05平米"," | 南 北 | 精装 | 低楼层(共6层) | 板楼","73人关注 "," 8个月以前发布",14326,129
"一楼带院儿，下沉式复式，从未入住新装修，价格大优惠","怡丰森林湖一期 - 北大学城","4室2厅 "," 90.05平米"," | 南 北 | 精装 | 低楼层(共6层) | 板楼","73人关注 "," 8个月以前发布",14326,129
"满五，得房率高，小区在卖户型仅 此一套","圣菲城 - 徐寨","3室2厅 "," 79.38平米"," | 南 | 简装 | 中楼层(共18层) | 塔楼","12人关注 "," 5个月以前发布",20157,160
"临湖的顶楼复式洋房，毛坯，装修可任意发挥，满二","正商公主湖 - 新郑城区","5室2厅 "," 181.22平米"," | 南 北 | 毛坯 | 高楼层(共7层) | 板楼","3人关注 "," 3个月以前发布",6070,110
"金水路 民航路地铁口100米 ， 双气，环境好 物业好","银基王朝 - 燕庄","3室2厅 "," 161.81平米"," | 南 北 | 精装 | 低楼层(共32层) | 板塔结合","54人关注 "," 一年前发布",16007,259
"满五唯一 中高楼层 不临路 精装修 全天采光 随时看房","财信圣堤亚纳小区 - 黄河南路","3室2厅 "," 104.94平米"," | 南 | 精装 | 高楼层(共34层) | 板楼","14人关注 "," 7个月以前发布",17630,185
"郑东新区三房 2018年次新小区 临着七里河 观景楼层","润城时光里 - 通泰路","3室2厅 "," 111.72平米"," | 南 北 | 简装 | 高楼层(共27层) | 板楼","39人关注 "," 5个月以前发布",14053,157
"远征都市港湾 双气3房 东关 商城遗址公园 诚心出售！","远征都市港湾 - 商代遗址","3室2厅 "," 160.25平米"," | 北 南 | 简装 | 低楼层(共12层) | 板楼","13人关注 "," 10个月以前发布",13791,221
"普罗旺世 南北通透 中间楼位 带车位出售","普罗旺世波特兰 - 普罗旺世","3室1厅 "," 118.29平米"," | 南 北 | 精装 | 高楼层(共34层) | 板塔结合","6人关注 "," 2个月以前发布",15640,185
"满五年唯一 商品房 小高层视野好 业主变现诚心出售","橡树玫瑰城 - 阳光城","3室1厅 "," 90.19平米"," | 东南 | 精装 | 18层 | 板楼","5人关注 "," 1个月以前发布",11643,105
"南区步梯低楼层 简约装修两室边户，南北坐向通透设计","华城铂宫 - 新郑城区","2室2厅 "," 82.38平米"," | 南 | 简装 | 中楼层(共7层) | 暂无数据","0人关注 "," 9天以前发布",5827,48
"理想名家 2室1厅 西","理想名家 - 荥阳城区","2室1厅 "," 74.43平米"," | 西 | 精装 | 高楼层(共6层) | 板楼","0人关注 "," 8天以前发布",5778,43
"三环边地铁口电梯次新小户型户型好","瀚海爱特中心 - 陈寨","1室0厅 "," 59.84平米"," | 北 | 精装 | 高楼层(共29层) | 板楼","0人关注 "," 10天以前发布",8189,49
"小区中间位置 不临街不临路装修一次未住全新代车位","有色地质家园B区 - 白沙","4室2厅 "," 166.83平米"," | 西南 | 精装 | 中楼层(共33层) | 板楼","1人关注 "," 12天以前发布",9591,160
"绿地璀璨天城，78平好楼层，精装两居室，拎包入住","绿地璀璨天城 - 省体育中心","2室2厅 "," 77.37平米"," | 南 | 精装 | 高楼层(共30层) | 塔楼","4人关注 "," 4个月以前发布",13158,101.8
"汉飞城市公园二期 3室2厅 南 北","汉飞城市公园二期 - 汽配大世界","3室2厅 "," 123.59平米"," | 南 北 | 简装 | 中楼层(共6层) | 板楼","11人关注 "," 6个月以前发布",11166,138
"北三环 小高层电梯，一梯两户 南北带精装，急卖","瑞祥如意世家 - 普罗旺世","3室1厅 "," 118.78平米"," | 南 | 精装 | 中楼层(共11层) | 板楼","2人关注 "," 1个月以前发布",11113,132
"业主急售，央企开发商，户型好，看房有钥匙","保利罗兰香谷 - 经开物流园区","4室1厅 "," 156.43平米"," | 南 北 | 毛坯 | 中楼层(共34层) | 板楼","13人关注 "," 10个月以前发布",8822,138
